1,1,0,GANopolis,0.9954,-0.0001,-0.0017,-0.0655,-0.0121,0.0678,0.2692
2,1,1,GANopolis,1.0068,-0.0006,-0.0042,-0.0883,-0.0291,0.0935,0.3453
3,1,2,GANopolis,1.0194,-0.0013,-0.0056,-0.0932,-0.0353,0.0998,0.3682
4,1,3,GANopolis,1.0434,-0.0012,-0.004,-0.1044,-0.0234,0.1071,0.3977
5,1,4,GANopolis,1.0848,-0.001,-0.0026,-0.0985,-0.0137,0.0995,0.368
6,1,5,GANopolis,1.1485,-0.0013,-0.0028,-0.0912,-0.0066,0.0915,0.3395
7,1,6,GANopolis,1.2175,-0.001,-0.002,-0.084,-0.0,0.084,0.3148
8,1,7,GANopolis,1.2897,-0.0003,-0.0006,-0.0746,0.005,0.0748,0.2874
9,1,8,GANopolis,1.348,-0.001,-0.0017,-0.0722,0.0136,0.0735,0.2829
10,1,9,GANopolis,1.4011,-0.0016,-0.0026,-0.0895,0.0174,0.0912,0.3377
11,1,10,GANopolis,1.4401,-0.0007,-0.0012,-0.1068,0.0124,0.1076,0.3993
12,1,11,GANopolis,1.4731,-0.0004,-0.0009,-0.1266,0.0032,0.1266,0.4849
13,1,12,GANopolis,1.4989,-0.0008,-0.0015,-0.1278,0.0002,0.1278,0.4897
14,1,13,GANopolis,1.5201,0.0002,-0.0002,-0.1331,0.0001,0.1331,0.515
15,1,14,GANopolis,1.5422,0.0007,0.0007,-0.1296,-0.004,0.1297,0.4974
16,1,15,GANopolis,1.5658,-0.0013,-0.0016,-0.1267,-0.0021,0.1267,0.4828
17,1,16,GANopolis,1.5868,-0.0021,-0.0025,-0.124,0.0019,0.124,0.4702
18,1,17,GANopolis,1.5921,-0.0007,-0.0008,-0.1168,0.0049,0.1169,0.44
19,1,18,GANopolis,1.5404,0.0014,0.0015,-0.1062,0.0111,0.1069,0.3952
20,1,19,GANopolis,1.4156,0.0025,0.0029,-0.1084,0.0195,0.1102,0.4086
21,1,20,GANopolis,1.2832,0.0028,0.004,-0.1162,0.0214,0.1182,0.4425
22,1,21,GANopolis,1.1624,0.0011,0.0019,-0.1073,0.0276,0.1109,0.4118
23,1,22,GANopolis,1.054,-0.001,-0.0006,-0.1198,0.0398,0.1264,0.4819
24,1,23,GANopolis,0.9675,0.0003,0.0009,-0.1242,0.0349,0.1291,0.495
25,2,0,GANopolis,0.9051,0.0029,0.0041,-0.1204,0.0282,0.1237,0.4684
26,2,1,GANopolis,0.8569,0.003,0.0045,-0.1081,0.0247,0.1109,0.4125
27,2,2,GANopolis,0.8357,0.0003,0.0016,-0.094,0.027,0.098,0.3623
28,2,3,GANopolis,0.8323,-0.0022,-0.0015,-0.0969,0.0413,0.1054,0.39
29,2,4,GANopolis,0.8568,-0.0043,-0.0041,-0.1092,0.0347,0.1147,0.4286
30,2,5,GANopolis,0.9549,-0.0029,-0.0029,-0.1541,0.0149,0.1561,0.6578
31,2,6,GANopolis,1.1085,-0.0002,-0.0001,-0.1718,-0.0166,0.1726,0.7813
32,2,7,GANopolis,1.2468,0.0019,0.0023,-0.1445,-0.0033,0.1445,0.5796
